"Character Name","Alternative Name","Category","Description","Source References"
"News Announcer Sub-Branch","","News Announcer","The name of the news announcer that Nobita's dad was watching.","TenComi Volume 36, Page 159; FF Land Volume 44, Page 181; Complete Works Volume 13, Page 601"
"Amachi Mari","","Singer","A professional singer selected to appear on the TV show Let's Become a Star. Gian aimed to win the championship and copied the voiceprint using a machine that captures voice patterns.","TenComi Volume 19, Page 42"
"Amano Sorao","","Anime Character","He appears in an anime that Gian watches in his room on the Galaxy Express. He is a fantasy-loving elementary school student.","The Longest Novel Volume 16, Page 36"
"Hoshio Amano","Amano Hoshio","Singer","A singer that Shizuka is a huge fan of. Shizuka wanted an autograph, so she sent a letter to the Get a Reply in Advance Postbox, but she did not receive a reply.","TenComi Volume 29, Page 133"
"Amu","","Robot Ancestor","One of the ancestors of robots in Mechatopia. Created 30,000 years ago by a scientist who had become disillusioned with humanity.","The Longest Series Volume 7, Page 193"
"Ayano Trilleau","","String Figure Artist","A professional string figure artist who attempted the Great Finger trick. Her signature move is Great Forest.","TenComi Volume 15, Page 184"
"Arakawashi Kamen","Arawashikamen","TV Hero","The TV hero that Nobita watched. He wears a mask resembling an eagle. His body is decorated with a cape, but the legs are quite simple. He fights using low-level martial arts.","TenComi Volume 20, Page 165"
"Ant (Nobita's Alias)","Ant Alias","Alias","The name Nobita used when introducing himself to King Harun al-Rashid.","Long Series Volume 11, Page 65"
"Arsene Lupin","","Literary Character","A master thief who appears in the works of French novelist Maurice Leblanc. Nobita used Arsene Lupin as a metaphor when he stole a book using the Devil's Passport.","TenComi Volume 1, Page 149"
"Andersen","Hans Christian Andersen","Author","Hans Christian Andersen was a Danish children's book author. He wrote The Little Match Girl, The Little Mermaid, The Ugly Duckling, and The Emperor's New Clothes.","TenComi Volume 45, Page 85"
"Anna","Siamese Cat","Pet Cat","A purebred Siamese cat kept as a pet in Suneo's house. Anna was found when Suneo's mother's 10 million yen diamond went missing.","TenComi Volume 30, Page 66"
"Ambrose Bierce","","Writer","An American writer who disappeared in late 1913 after traveling to Mexico during the revolution. His last known letter was dated December 26, 1913, from Chihuahua, Mexico.","TenComi Volume 44, Page 153"
"King Unluck","Unluck King","Ruler","The king who rules the planet Chamocha. Due to Dr. Napogistler's machinations, the planet Chamocha has been taken over.","The Epic Volume 13, Page 90"
"Head of the Flower Arrangement School","Iemoto-San","Flower Arrangement Master","The head of the flower arrangement school that Nobita's mother practices. He noticed her flower arrangement at the exhibition and praised her work.","TenComi Volume 28, Page 114"
"Ikaji Family","","Unknown","The name that appeared in Shizuka's dream, inscribed on a tombstone.","Complete Works Volume 3, Page 64"
"A Foreigner Who Collapsed from Exhaustion","","Dutchman","A Dutchman was found collapsed in an empty lot. He was rescued by Kawaru-kun and had a picture of Momotaro.","TenComi Volume 9, Page 163; FF Land Volume 19, Page 5; Complete Works Volume 5, Page 239"
"Junko Ikeuchi","","Celebrity Lookalike","Nobita's mom said that when she saw her own smiling face, it looked just like Junko Ikeuchi's.","TenComi Volume 15, Page 86; FF Land Volume 8, Page 56; Complete Works Volume 5, Page 169"
"Sacrificial Daughter","Sacrifice Daughter","Woman","A woman who lives on Futatsuyama. She was offered as a sacrifice to Shirakami-sama, but managed to escape.","Long Series Volume 15, Page 89"
"Ishikawa Goemon","","Historical Figure","Appears to be an ordinary police officer, but his true identity is revealed by the Bowing Grasshopper. The Vietnam War, photochemical smog, and rising prices are mentioned in his story.","TenComi Volume 1, Page 94"
"A Bullied Puppy","Bullied Puppy","Animal","A small dog was tied to a tree in an empty lot. Thanks to the Animal Transformation Gratitude Potion, it came to Doraemon's house to repay him for saving it.","TenComi Volume 28, Page 14"
"Ichi","","Stray Dog","A stray dog became attached to Nobita after he fed it once. Nobita's mom found out he was secretly keeping it as a pet, so he used his time machine to take Ichi back 300 million years.","TenComi Volume 13, Page 8"
"Ichijoji Retsu","","Unknown","The address on an envelope was mixed in with Nobita's mail.","TenComi Volume 38, Page 87"
"Issunboshi","","Picture Book Character","A character that appears in the picture book that Nobita owns.","Long Series Volume 11, Page 26"
"The Person Who Dropped the Bag Containing 10 Million Yen","","Man","A man left a bag containing 10 million yen in a public telephone booth. He remembered halfway and went back, but the bag was already gone.","TenComi Volume 5, Page 92"
"The Person Who Found the Bag Containing 10 Million Yen","","Man","A man found a bag containing 10 million yen in a public telephone booth. He ran as fast as he could and reported it to the police station.","TenComi Volume 5, Page 92"
"A Dog That Always Bites","Dog That Bites Nobita","Animal","A dog that always bites Nobita. He was bitten by Nobita using a One-Shot Reversal Bomb and ran away.","Plus Volume 3, Page 67; Complete Works Volume 8, Page 194"
"A Child Who Is Always Timid and Nervous","","Boy","A boy who is Nobita's friend. The child is quick-tempered, easily frightened, and always timid and nervous. The boy did not want to go back to his grandfather's house.","TenComi Volume 33, Page 159"
"The Grandfather of the Timid Child","Old Man Who Is Always Timid and Nervous","Old Man","The grandfather of a child who gets angry at the slightest thing and is always timid and nervous.","FF Land Volume 41, Page 137"
"Tsubasa Ito","Ito Tsubasa","Female Idol","A female idol who is popular with Suneo and Doraemon fans. She was delivered to Nobita's house using a copying machine. She got caught up in a scuffle between Suneo and others.","TenComi Volume 23, Page 129"
"Tsubasa Ito's Elementary School Teacher","","Teacher","A teacher who was very kind to Tsubasa Ito when she was in elementary school. He remains a trusted confidant for Tsubasa Ito. He is elderly and married.","TenComi Volume 23, Page 129"
"Itoyama-San","","Commentator","A commentator for the world title match for string figures.","TenComi Volume 15, Page 181"
"Dog Police Officer","The Dog Policeman","Animal Police","A dog cop in a winding city. Jack was speeding and crashed his car into a lamppost, completely wrecking it, so police cars rushed to the scene.","Long Series Volume 18, Page 82"
"Saburo Inuyama","Inuyama Saburo","Boy","A boy who mistakenly addressed Nobita's New Year's card to Taiyama Saburo.","TenComi Volume 15, Page 168; FF Land Volume 25, Page 94; Complete Works Volume 4, Page 394"
"Taro Inuyama","Inuyama Taro","Father","Saburo Inuyama's father. Thanks to the power of the Portable Parliament, the kanji characters were changed to Taizan Kenro.","TenComi Volume 15, Page 170; FF Land Volume 25, Page 96; Complete Works Volume 4, Page 396"
"A Girl Walking Her Dog (Gian's Crush 1)","Girl Walking Her Dog","Girl","A girl Gian has a crush on. She often walks Benji in the park.","TenComi Volume 44, Page 39"
"A Girl Walking Her Dog (Gian's Crush 2)","Girl Walking Her Dog","Girl","A girl Gian fell in love with. She was from Osaka and stayed at a relative's house for a while.","TenComi Volume 29, Page 66"
"Wild Boar","","Animal","The large wild boar that chased Nobita's ancestor, Nobisaku. It was killed by Suneo's ancestor, Sunemaru.","TenComi Volume 1, Page 101; FF Land Volume 2, Page 8; Complete Works Volume 1, Page 203"
"Eve (Nobita Explaining)","Adam and Eve","Biblical Figure","This figure appeared when Nobita explained to Shizuka that it was right to be naked. Eve is a figure from the Bible, considered the second human created by God.","TenComi Volume 21, Page 150"
"Eve (Garden of Eden)","Adam and Eve","Biblical Figure","One of the ancestors of humankind who lived in the Garden of Eden with Adam. Eve ate the fruit of the Tree of Knowledge, which God had forbidden her to eat.","Long Series Volume 15, Page 23"
"Emu","","Robot Ancestor","One of the ancestors of robots in Mechatopia. Created 30,000 years ago by a scientist who had become disillusioned with humanity.","The Longest Series Volume 7, Page 193"
"Iwao","Iwaotoko","Rock Golem","Shizuka created a giant rock golem using her Inanimate Object Hypnosis Megaphone.","Long Series Volume 18, Page 157"
"Wu-Tang","Uutan","Mayor","The mayor of Animal Planet. He prayed to God and Nimge and devised a plan to fight. He is a leader of the townspeople who devoutly follow God's teachings.","The Longest Novel Volume 2, Page 139"
"The Old Man Tending Plants","Man Tending Plants","Old Man","An old man was tending his plants when something hit him on the head over the fence. When he rushed out to investigate, he spotted Gian and complained about vandalism.","TenComi Volume 18, Page 22"
"Fish Frog","Uogaeru","Creature","Creatures resembling fish with arms and legs that inhabit planet Koya Koya. In winter, they come ashore, burrow into soil, and hibernate.","The Longest Novel Volume 2, Page 126"
"Employee of Uotatsu","Uotatsu's Employee","Worker","A male employee of the Senshin fish shop in Nobita's town. A cat thief stole a fish, and the employee chased after it with a kitchen knife.","FF Land Volume 38, Page 120"
"Uginba-Kun","","Elephant","An elephant living in Tanzania, Africa. He testified before the Noah Project council. His family was killed by poachers who wanted his ivory.","Long Series Volume 12, Page 184"
"Rabbit","","Doll","A doll that Shizuka was holding. Papi got on the rabbit and ran away while filming.","The Longest Novel Volume 6, Page 15"
"Minister of the Right","Udaijin","Official","A high-ranking official in the imperial court. He was cured of his illness by Sunemaro.","The Longest Novel Volume 15, Page 134"
"Utabe","","Performer","At a celebration marking escape from Gigazombie and arrival in Japan, a man from the Hikari tribe performed a song.","The Longest Series Volume 9, Page 125"
"Yumi Uchida","Uchida Yumi","Actress","A star appearing in a Japanese-American co-production film filmed in front of the train station.","TenComi Volume 45, Page 191"
"Space Monster (Space Exploration Pretend Play)","Space Monsters","Toy Monster","A monster that appears in Space Exploration Pretend Play. The monsters attack, but since they are made of rubber, players can defeat them safely.","TenComi Volume 12, Page 53"
"Space Monster Snail","Alien Snail","Dream Character","Suneo appears in Nobita's dream. Apparently, Suneo loses a space war against Nobita in the dream.","TenComi Volume 28, Page 88; FF Land Volume 36, Page 5; Complete Works Volume 10, Page 425"
"Cosmic Monster","Space Monster","TV Monster","A monster that appeared in Space Detective Saraba. Thanks to the One-Shot Comeback Bomb, he defeated the protagonist and brought the show to an end. In truth, he was just pretending.","TenComi Volume 30, Page 81"
"Aliens","","Space Visitors","Nobita found a balloon he was remotely controlling with the Long-Range Balloon Letter Controller. The balloon arrived at Nobita's house late at night with a letter attached.","TenComi Volume 3, Page 41"
"Space Tarzan","Uchuu Tarzan","TV Hero","Nobita's favorite TV hero. He was naked from the waist up, wearing only cloth on his lower body, and holding something resembling a dagger in his left hand. He fought evil creatures.","TenComi Volume 16, Page 173"
"The Actor Who Played Space Tarzan","","Actor","The man playing Space Tarzan had a large, muscular build. He met Nobita in the park and sadly told him the show was likely to be cancelled. Moved by Nobita's pleas, he reconsidered.","TenComi Volume 16, Page 173"
"Great Demon King of the Universe","Great Demon King of Space","Movie Villain","The villain from the tokusatsu film Space Great Demon God, based on the original work by Dekisugi-kun. Gian plays the role of the protagonist.","TenComi Volume 38, Page 167"
"Space Detective Saraba","Space Detective Farewell","TV Hero","The main character of the TV show Space Detective Saraba. He fought against a space monster but was defeated by the effect of the One-Shot Comeback Bomb.","TenComi Volume 30, Page 79"
"Space Pilot","","TV Character","A pilot who set out to explore a star far from Earth appeared on TV Nobita and his friends watched. He returned to Earth after one year, but because he traveled at near light speed, 100 years had passed on Earth.","TenComi Volume 25, Page 145"
"Grandson of a Space Pilot","Space Pilot's Grandchild","TV Character","The person who appeared on TV welcoming the space pilot back to Earth at the airport.","TenComi Volume 25, Page 145; FF Land Volume 33, Page 165; Complete Works Volume 10, Page 422"
"Space Rocket Robbery","Space Rocket Criminal","Criminal","A future criminal who stole a space rocket. In Nobita's time, he dropped a bag containing secret gadgets from the future. He accidentally saw Nobita's face.","TenComi Volume 24, Page 99"
"Ukki","","Monkey Plushie","Shizuka brought a monkey plushie named Ukki. It was mischievous and quick. It befriended skeletons using the Screw of Life.","Long Series Volume 17, Page 43"
"The Old Man at the Horse Shop","Umai-Ya Uncle","Shop Owner/Sponsor","He became a sponsor of the broadcasting station that Nobitaro started. He runs a confectionery shop. With the sponsor's support, Nobitaro was able to continue his broadcasting activities.","TenComi Volume 11, Page 96"
"Sea Witch","Umi no Majo","Story Character","The witch from the picture book The Little Mermaid. In exchange for the Little Mermaid's voice, she was supposed to give a potion turning the tail into legs.","TenComi Volume 25, Page 163"
"Sea Monster (Assorted Ghosts)","Umibozu","Ghost","The ghost Nobita produced in Assorted Ghosts. He can swim freely underwater and carried Nobita, who could not swim, on his back.","TenComi Volume 31, Page 24; FF Land Volume 39, Page 102; Complete Works Volume 11, Page 606"
"Sea Monster (Captain Kidd Era)","Umibozu","Sea Monster","A sea monster from the time of Captain Kidd attacked the ship Nobita and his friends were on. It was a synthetically modified organism developed by the Inca civilization.","Long Series Volume 18, Page 131"
"Sea Monster (Fake Fishing Hook)","Umibozu","Artificial Fish","Doraemon was greatly inflated by a fake fishing hook that Nobita's dad caught.","TenComi Volume 31, Page 23; FF Land Volume 39, Page 101; Complete Works Volume 11, Page 639"
"Urashima Taro","","Folk Tale Character","He saved a turtle and was invited to the Dragon Palace at the bottom of the sea. In the summer of 1049, he went missing at sea and reappeared in 1317 (canonically speaking, in the Doraemon universe).","TenComi Volume 25, Page 163"
"Uradraman","Uradoraman","Movie Hero","A hero of justice in the tokusatsu film Space Great Demon God, based on Dekisugi-kun's original work. A boy whose town was burned down was given power and fought as a hero.","TenComi Volume 38, Page 169"
"Uratorman","Uatoruman","TV Hero","A hero who appears in the TV show Uratorman. He has a body similar to Ultraman's. Due to the Magic Clock, he was forced to fight many times and became so tired he fainted on air.","TenComi Volume 41, Page 139"
"Uranari Kazuo","","Transfer Student","The transfer student was downcast because his father was a sailor and could not come home often. Using the Continuous Reflection Mirror, Uranari talked to his father who was at sea.","TenComi Volume 22, Page 141"
"Uranari-Kun's Father","Uranari-Kun's Dad","Sailor Parent","He is a sailor who cannot go home very often. He is Uranari-kun's father.","TenComi Volume 22, Page 141; FF Land Volume 31, Page 121; Complete Works Volume 9, Page 314"
"Urankana","","Salesman","A salesman in the new product sales department of Mirai Department Store. Competition with rival companies is fierce, and they prevent product information leaks.","TenComi Volume 18, Page 21"
"Noisy Old Man","","Neighbor","The old man in the house Nobita said was noisy. He has straight, long eyebrows extending beyond his head. He got angry when he saw Gian and his gang vandalizing the wall outside.","TenComi Volume 34, Page 151"
"Ultrasneo","Ultra Neo","Dream Hero","The name Suneo used when he was a hero in his dream. He looked just like Super Dan.","Complete Works Volume 3, Page 66"
"Ultra Seven Eleven","Ultra Seven Eleven","TV Hero","The TV hero that Gian watched. He fights monsters.","TenComi Volume 26, Page 13"
"Ultra Boy","","TV Hero","The main character of Ultra Boy, a popular TV show Nobita and his friends watch. He wore a cape and form-fitting suit. His abilities are unknown but he can fly. He could crash through walls.","TenComi Volume 5, Page 63"
"Ultra One","Ultra-One","TV Hero","A hero in the TV show Ultra One. He has a dog-like face and body resembling Ultraman Seven.","Complete Works Volume 3, Page 56"
"Driver","","Homeowner","The homeowner where Nobita took refuge from a car. The house is at the end of a sharp curve, so dump trucks often crash into it. Just as Doraemon and others were talking, a truck crashed in.","TenComi Volume 26, Page 101"
"A Woman Practicing Driving","","Older Woman","An older woman practiced driving in her backyard. Nobita, who had trespassed into the garden, was almost run over.","TenComi Volume 1, Page 29; FF Land Volume 2, Page 176; Complete Works Volume 1, Page 45"
"Umino-San","Unno's Acquaintance","Acquaintance","The person who lent Nobita's dad the karaoke set.","TenComi Volume 44, Page 185"
"A. Campbell","","Fisheries Manager","This character appeared in materials for the debate Does Nessie Exist or Not?. In 1934 he saw the Loch Ness Monster and documented the experience. He was a fisheries manager.","TenComi Volume 6, Page 127"
"A-Kun","E-Kun","Friend","Nobita's friend mentioned when Nobita was persuading his parents to stop hiring a tutor.","TenComi Volume 33, Page 159; FF Land Volume 41, Page 137; Complete Works Volume 13, Page 503"
"Baron Erich von Munchausen","Erich von Munchausen","Ancestor","An ancestor of Lotte Munchausen. Five hundred years ago, they built Munchausen Castle. He was a large armored man who left treasure for his descendants.","TenComi Volume 25, Page 25"
"Illustrator (Paintings Not Selling)","Artist","Painter","An older painter struggled because his paintings were not selling. When he pawned a painting, it fetched 1 million yen, and art gallery owners became interested.","TenComi Volume 18, Page 93"
"Illustrator (Crayon Drawn)","Artist","Painter","A painter drawn by Doraemon using crayons. In exchange for teaching art, he demanded food. He asked Nobita's mom Who drew this? It's terrible, then drew her caricature.","TenComi Volume 40, Page 180"
"Ekaterina","","Pet Cat","Suneo's pet cat with a pedigree certificate. It ran away from home but came back a week later.","Long Novel Volume 16, Page 8"
"Edison","","Inventor","A character from the book Edison that Nobita received as a Christmas present. Thomas Alva Edison was an American inventor famous for the phonograph, incandescent light bulb, and other innovations.","TenComi Volume 45, Page 85"
