Magazine code,Date,English title,Japanese title,English Kindle,Bilingual Print,Tankōbon,Complete Collection,1979 anime,,2005 anime,,,Movie,,Short film,Notes
G3,1971-02,Doraemon's Double Trouble,ドラえもんだらけ,Vol 29,Vol 2-4,Vol 5,Vol 1,Ep 1144,,Ep 9A (16),Ep 240A (389),,,,,
G4,1971-02,Do You Love Me-ow?,好きでたまらニャい,Vol 34,Vol 2-3,Vol 7,Vol 1,Ep 308,,Ep 10A (18),Ep 798A (1369),,,,,
YK,1971-03,What Time is It?,いま、なん時？,Vol 198,,,Vol 18,,,,,,,,,
KG,1971-03,"Paper, Rock... Box?",じゃんけん箱,Vol 196,,,Vol 18,,,,,,,,,
G1,1971-03,The Magic Clock,まほうのとけい,Vol 177,,,Vol 3,Ep 465,,,,,,,,
G2,1971-03,Forget-me-lots,わすれろ草,Vol 40,,Vol 9,Vol 2,Ep 284,Ep 1197,Ep 400B (686),,,,,,
G3,1971-03,A High-Speed Slow-Down,のろのろ、じたばた,Vol 5,Vol 1-2,Vol 5,Vol 1,Ep 168,,Ep 2A (4),Ep 409A (710),,,,,
G4,1971-03,Doraemon Goes Home,ドラえもん未来へ帰る,Vol 173,,,Vol 1,,,,,,,,,
YK,1971-04,Air Crayon Crazy,空気クレヨンで大さわぎ,Vol 198,,,Vol 18,,,,,,,,,
G1,1971-04,Instant Pitfall,そくせきおとしあな,Vol 179,,,Vol 4,,,,,,,,,
G2,1971-04,The Magic Map,まほうの地図,Vol 155,,Vol +5,Vol 3,,,Ep 909A (1511),,,,,,
G3,1971-04,The Robot Car,ロボット・カー,Vol 168,,,Vol 2,Ep 1598,,,,,,,,
G4,1971-04,Time Crime Tracker,タイムマシンで犯人を,Vol 55,Vol 1-5,Vol 15,Vol 1,Ep 54,,Ep 397B (679),,,,,,
G1,1971-05,Magic Faucet,まほうのじゃぐち,Vol 179,,,Vol 4,Ep 445,,Ep 15 (Short),,,,,,
G2,1971-05,Flying Fish,空とぶさかな,Vol 34,Vol 1-2,Vol 7,Vol 3,Ep 196,,Ep 308A (505),,,,,,
G3,1971-05,The Trick-less Trick,たねのない手品,Vol 175,,,Vol 2,,,,,,,,,
G4,1971-05,The Lying Mirror,うそつきかがみ,Vol 14,Vol 3-2,Vol 2,Vol 1,Ep 123,,Ep 274B (445),Ep 533A (947),,,,,
G1,1971-06,Shadow Puppets,かげえごっこ,Vol 179,,,Vol 4,Ep 598,,,,,,,,
G2,1971-06,The Vend-Anything Machine,役立つもの販売機,Vol 176,,,Vol 3,Ep 1169,,Ep 585B (1042),,,,,,
G3,1971-06,The X-Ray Scope,スケスケ望遠鏡,Vol 28,,Vol 4,Vol 2,Ep 260,,,,,,,,
G4,1971-06,Lionman's Big Jam,あやうし！ライオン仮面,Vol 2,Vol 3-6,Vol 3,Vol 1,Ep 191,Ep 1365,Ep 25A (48),Ep 625B (1094),,,,,
G1,1971-07,The Disguise Suit,変装服,Vol 179,,,Vol 4,,,,,,,,,
G2,1971-07,The Truthbeaker,ソノウソホント,Vol 27,Vol 3-2,Vol 4,Vol 3,Ep 74,Ep 1410,Ep 264A (426),,,,,,
G3,1971-07,The Reversifier,アベコンベ,Vol 27,Vol 1-1,Vol 4,Vol 2,Ep 184,,Ep 212A (351),Ep 878A (1473),,,,,
G4,1971-07,Shadowhunting,かげがり,Vol 2,Vol 1-1,Vol 1,Vol 1,Ep 102,Ep 1409,Ep 17A (33),Ep 407C (706),,,,,
G1,1971-08,Doraemon's Pocket,ドラえもんのポケット,Vol 179,,,Vol 4,,,,,,,,,
G2,1971-08,The Undersea Adventure,せん水艦で海へ行こう,Vol 33,Vol 1-2,Vol 6,Vol 3,Ep 49,Ep 1188,Ep 131B (241),,,,,,
G3,1971-08,The Big Winner,宝くじ大当たり,Vol 31,Vol 3-3,Vol 5,Vol 2,Ep 230,,Ep 317A (523),Ep 812B (1388),,,,,
G4,1971-08,Halo of Gratitude,アリガターヤ,Vol 149,,Vol +3,Vol 1,Ep 1222,,Ep 88A (168),Ep 588A (1046),,,,,
G1,1971-09,The Trickerchief,手じなふろしき,Vol 179,,,Vol 4,,,,,,,,,
G2,1971-09,Bad Medicine,いんちき薬,Vol 178,,,Vol 3,,,Ep 422B (738),,,,,,
G3,1971-09,Judo Master Noby,黒おびのび太,Vol 2,Vol 1-2,Vol 5,Vol 2,Ep 178,Ep 1187,Ep 333B (555),,,,,,
G4,1971-09,"Robyn, My Love",ロボ子が愛してる,Vol 23,Vol 2-3,Vol 2,Vol 1,Ep 75,,Ep 30A (58),Ep 510A (903),,,,,
G1,1971-10,Animal Candy,動物キャンディー,Vol 179,,,Vol 4,Ep 395,,,,,,,,
G2,1971-10,The Truth Transmitter,ショージキデンパ,Vol 178,,Vol +7,Vol 3,Ep 637,,Ep 833B (1414),,,,,,
G3,1971-10,King of the Cavemen,石器時代の王さまに,Vol 5,,Vol 7,Vol 2,Ep 216,,Ep 42B (83),Ep 362A (611),,,,,
G4,1971-10,Doraemon Sings!,ドラえもんの歌,Vol 174,,Vol +7,Vol 1,,,Ep 63A (124),Ep 536A (952),,,,,
G1,1971-11,The Overwriting Crayon,そっくりクレヨン,Vol 25,,Vol 3,Vol 4,Ep 461,,,,,,,,
G2,1971-11,Pero Comes Back,ペロ！生きかえって,Vol 26,Vol 2-1,Vol 3,Vol 3,Ep 192,,Ep 47B (93),,,,,,
G3,1971-11,The Whatever Weather Box,お天気ボックス,Vol 44,Vol 3-1,Vol 10,Vol 2,Ep 69,Ep 1352,Ep 296B (483),Ep 662B (1159),,,,,
G4,1971-11,Competing Proposals,プロポーズ作戦,Vol 22,Vol 2-3,Vol 1,Vol 1,Ep 37,Ep 1781,Ep 169 (293),Ep 484B (855),,,,,
G1,1971-12,The Christmas Tree Seed,クリスマスツリーのたね,Vol 168,,,Vol 4,,,Ep 790C (1358),,,,,,
G2,1971-12,Realpedia,ほんもの図鑑,Vol 7,Vol 1-2,Vol 6,Vol 3,Ep 79,Ep 1191,Ep 36A (71),,,,,,
G3,1971-12,Melody Gas,メロディーガス,Vol 8,,Vol 4,Vol 2,Ep 471,,Ep 842B (1427),,,,,,
G4,1971-12,King of the Night,夜の世界の王さまだ！,Vol 13,,Vol 6,Vol 1,Ep 99,Ep 1408,Ep 877B (1472),,,,,,
G1,1972-01,Face-Off Soap,ふくわらい石けん,Vol 179,,,Vol 4,Ep 457,,,,,,,,
G2,1972-01,The Genie Robot,ランプのけむりオバケ,Vol 22,,Vol 1,Vol 3,Ep 1214,,Ep 33A (65),Ep 548A (975),,,,,
G3,1972-01,I Hate Money!,お金なんか大きらい！,Vol 56,Vol 3-4,Vol 16,Vol 2,Ep 187,,Ep 637B (1115),,,,,,
G4,1972-01,The Bedroom Avalanche,勉強べやの大なだれ,Vol 24,Vol 1-1,Vol 2,Vol 1,Ep 239,,Ep 43A (84),,,,,,
G1,1972-02,Homework Pajamas,べんきょうねまき,Vol 179,,,Vol 4,,,,,,,,,
G2,1972-02,Hot Snow,雪でアッチッチ,Vol 21,Vol 1-1,Vol 1,Vol 3,Ep 214,,Ep 320B (532),Ep 629A (1119),,,,,
G3,1972-02,The Any Day Diary,いつでも日記,Vol 43,,Vol 10,Vol 2,Ep 494,,Ep 689B (1204),,,,,,
G4,1972-02,Noby's Bride,のび太のおよめさん,Vol 3,Vol 1-2,Vol 6,Vol 1,Ep 6,,Ep 2B (5),Ep 373B (635),,,,,
G1,1972-03,Rocket Gum,ロケットガム,Vol 179,,,Vol 4,,,,,,,,,
G2,1972-03,The Switch-A-Rope,入れかえロープ,Vol 54,Vol 1-5,Vol 15,Vol 3,Ep 236,,,,,,,,
G3,1972-03,The Teleporter,物体瞬間移動機,Vol 175,,,Vol 2,Ep 454,,,,,,,,
G4,1972-03,No More Doraemon?!,ドラえもんがいなくなっちゃう！？,Vol 174,,,Vol 1,,,,,,,,,
G1,1972-04,Bloomin' Ashes,花さくはい,Vol 180,,,Vol 5,,,Ep 649A (1137),,,,,,
G2,1972-04,The Cannon Express,どこでも大ほう,Vol 32,Vol 1-2,Vol 6,Vol 4,Ep 195,,Ep 276A (448),,,,,,
G3,1972-04,The BubbleCorder,ヤカンレコーダー,Vol 28,,Vol 4,Vol 3,Ep 212,,,,,,,,
G4,1972-04,The Turvy Topsy Flute,コベアベ,Vol 22,Vol 2-2,Vol 1,Vol 2,Ep 35,,,,,,,,
G1,1972-05,Going Buggy,むしめがねでへんしん,Vol 180,,,Vol 5,,,,,,,,,
G2,1972-05,Badge Busters,バッジを作ろう,Vol 30,Vol 1-2,Vol 5,Vol 4,Ep 510,,,,,,,,
G3,1972-05,Memory Bread,テストにアンキパン,Vol 23,Vol 1-1,Vol 2,Vol 3,Ep 3,Ep 1183,Ep 17B (34),Ep 278B (451),,,,,
G4,1972-05,Super Dan!,スーパーダン,Vol 25,,Vol 3,Vol 2,Ep 72,Ep 1351,Ep 464A (817),,,,,,
G1,1972-06,The Height Competition,うちでの小づちでせいくらべ,Vol 180,,,Vol 5,,,,,,,,,
G2,1972-06,The Ultra Mixer,ウルトラミキサー,Vol 35,Vol 1-2,Vol 7,Vol 4,Ep 179,,Ep 281A (456),Ep 619A (1082),,,,,
G3,1972-06,The Earth Diving Suit,潜地服,Vol 178,,,Vol 3,Ep 504,,,,,,,,
G4,1972-06,The Myth Medallions,おはなしバッジ,Vol 26,,Vol 3,Vol 2,Ep 302,,Ep 317C (525),Ep 779B (1340),,,,,
G1,1972-07,Mole Mittens,もぐら手ぶくろ,Vol 180,,,Vol 5,,,,,,,,,
G2,1972-07,Ghost Incense,オバケせんこう,Vol 179,,,Vol 4,Ep 545,,Ep 412A (718),,,,,,
G3,1972-07,Sequence Spray,つづきスプレー,Vol 30,,Vol 5,Vol 3,Ep 60,,Ep 310B (510),Ep 679A (1189),,,,,
G4,1972-07,The Dream Chime,ゆめふうりん,Vol 23,Vol 3-4,Vol 2,Vol 2,Ep 245,,Ep 19A (37),Ep 718B (1250),,,,,
G1,1972-08,The Snow Cloud,ゆきぐも,Vol 180,,,Vol 5,,,,,,,,,
G2,1972-08,The Payback Hands,お返しハンド,Vol 179,,Vol +7,Vol 4,Ep 1091,,,,,,,,
G3,1972-08,Time Traveler,タイムマシン,Vol 169,,,Vol 3,,,,,,,,,
G4,1972-08,Noby's Birthday,ぼくの生まれた日,Vol 5,Vol 1-1,Vol 2,Vol 2,Ep 81,Ep 1059,Ep 123 (229),,,Stand by Me Doraemon 2,,The Day When I Was Born,
G1,1972-09,The Real Light,本物ライト,Vol 180,,,Vol 5,,,,,,,,,
G2,1972-09,The Be-There Phone,おしかけ電話,Vol 31,,Vol 5,Vol 4,Ep 449,,Ep 888A (1486),,,,,,
G3,1972-09,Sightseeing without Sightseeing,行かない旅行の記念写真,Vol 34,,Vol 7,Vol 3,Ep 95,,,,,,,,
G4,1972-09,The Bad-Luck Diamond,悪運ダイヤ,Vol 38,Vol 1-3,Vol 8,Vol 2,Ep 186,Ep 1217,Ep 69B (135),Ep 534B (950),,,,,
YK,1972-10,The Anything Tree,なんでもツリー,Vol 198,,,Vol 18,,,,,,,,,
KG,1972-10,,遊園地になる木,,,,Vol 18,,,,,,,,,
G1,1972-10,The Never-Fall Tightrope,落ちないつな,Vol 180,,,Vol 5,,,Ep 3 (Short),,,,,,
G2,1972-10,Sweetstick,おせじ口べに,Vol 15,,Vol 1,Vol 4,Ep 42,,Ep 386A (659),,,,,,
G3,1972-10,The Noby in the Mirror,かがみの中ののび太,Vol 29,Vol 1-2,Vol 5,Vol 3,Ep 47,,Ep 808B (1384),,,,,,
G4,1972-10,The Buddy Beacon,友情カプセル,Vol 28,Vol 2-2,Vol 4,Vol 2,Ep 50,Ep 1784,Ep 216A (356),Ep 531A (943),,,,,
YK,1972-11,Wear-and-Wash Spray,着たまませんたくできるスプレー,Vol 198,,,Vol 18,,,,,,,,,
G1,1972-11,Baseball Riders,ボールに乗って,Vol 53,,Vol 14,Vol 5,,,Ep 7 (Short),,,,,,
G2,1972-11,The Magnet Mirror,引きよせかがみ,Vol 168,,,Vol 4,Ep 1283,,,,,,,,
G3,1972-11,The Star Sledgehammer,流れ星製造トンカチ,Vol 169,,,Vol 3,Ep 1148,,,,,,,,
G4,1972-11,The End of the World,世界沈没,Vol 28,,Vol 4,Vol 2,Ep 483,,Ep 79A (153),,,,,,
G1,1972-12,Playing with Fish,魚と遊ぼう,Vol 180,,,Vol 5,,,,,,,,,
G2,1972-12,Playing Dolls,人形あそび,Vol 44,,Vol 10,Vol 4,Ep 218,,Ep 656A (1148),,,,,,
G3,1972-12,Gravity Paint,重力ペンキ,Vol 29,,Vol 5,Vol 3,,,Ep 276B (449),,,,,,
G4,1972-12,The Six Million Yen Painting,この絵600万円,Vol 13,Vol 3-1,Vol 6,Vol 2,Ep 254,,Ep 655A (1146),,,,,,
G1,1973-01,Animal Drops,動物ドロップ,Vol 180,,,Vol 5,,,,,,,,,
G2,1973-01,The Medicine Maker,ふしぎな薬,Vol 169,,,Vol 4,Ep 607,,Ep 847A (1433),,,,,,
G3,1973-01,The Reset Roller,フリダシニモドル,Vol 178,,,Vol 3,,,,,,,,,
G4,1973-01,The Hot Springs Trip,温泉旅行,Vol 32,,Vol 6,Vol 2,Ep 141,Ep 1484,Ep 34B (68),Ep 538B (957),,,,,
YK,1973-02,Robot Oni,ロボットのおに,Vol 198,,,Vol 18,,,,,,,,,
G1,1973-02,Invisipaint,とうめいペンキ,Vol 169,,,Vol 5,Ep 424,,Ep 895A (1493),,,,,,
G2,1973-02,Mr. Rope,まほうのひも,Vol 170,,,Vol 4,,,,,,,,,
G3,1973-02,My Little Kitty,すてきなミイちゃん,Vol 10,Vol 2-3,Vol 14,Vol 3,Ep 28,,Ep 76B (148),Ep 498A (880),,,,,
G4,1973-02,Big Noby vs. Little Big G,大きくなってジャイアンをやっつけろ,Vol 147,,Vol +2,Vol 2,Ep 416,,Ep 761A (1315),,,,,,
YK,1973-03,Sand Gloves,手ぶくろですな遊び,Vol 198,,,Vol 18,,,,,,,,,
KG,1973-03,,はりええほんドラえもん,,,,Vol 18,,,,,,,,,
G1,1973-03,The Ultra Ring,ウルトラリング,Vol 169,,,Vol 5,Ep 439,,Ep 260A (418),Ep 579A (1033),,,,,
G2,1973-03,The Come-Here Collar,ヨンダラ首わ,Vol 52,,Vol 14,Vol 4,Ep 567,,Ep 605A (1068),,,,,,
G3,1973-03,Planet Builders,地球製造法,Vol 4,,Vol 5,Vol 3,Ep 400,Ep 868,Ep 36B (72),Ep 594A (1054),,Nobita's Diary on the Creation of the World,,,
G4,1973-03,The Phantom of the Future,未来世界の怪人,Vol 28,,Vol 4,Vol 2,Ep 68,Ep 1659,Ep 163 (287),Ep 779A (1339),,,,,
G6,1973-03,A Stone Unturned,石ころぼうし,Vol 3,Vol 1-1,Vol 4,Vol 1,Ep 164,Ep 1178,Ep 373A (634),,,,,,
YK,1973-04,Flower Boys and Girls,花さか灰そうどう,Vol 198,,,Vol 18,,,,,,,,,
KG,1973-04,Growing Up Quick,早く大きくなあれ,Vol 196,,,Vol 18,,,,,,,,,
G1,1973-04,Cloud Clay,雲ねんど,Vol 169,,,Vol 6,Ep 429,,,,,,,,
G2,1973-04,The Speedwinder,ネジまいてハッスル！,Vol 45,,Vol 11,Vol 5,Ep 330,Ep 1404,Ep 651B (1141),,,,,,
G3,1973-04,Telekinesis Drops,念力目薬,Vol 169,,,Vol 4,Ep 587,,Ep 914B (1519),,,,,,
G4,1973-04,True Lies,うそつ機,Vol 25,Vol 1-1,Vol 3,Vol 3,Ep 1346,,Ep 699A (1219),,,,,,
G5,1973-04,Let's Go Hiking!,ハイキングに出かけよう,Vol 175,,Vol 0,Vol 2,Ep 1146,,Ep 716A (1247),,,,,,
YK,1973-05,The Bird Catcher,鳥とり機,Vol 198,,,Vol 18,,,,,,,,,
KG,1973-05,Really Real Pictures,写したものを出すカメラ,Vol 197,,,Vol 18,,,,,,,,,
G1,1973-05,The Bounce Back Cape,ひらりマント,Vol 30,Vol 1-2,Vol 5,Vol 6,Ep 205,,Ep 913A (1517),,,,,,
G2,1973-05,Elf-Bots,小人ロボット,Vol 34,Vol 1-2,Vol 7,Vol 5,Ep 200,Ep 1131,Ep 183B (312),Ep 511A (905),,,,,
G3,1973-05,4D Cycling,四次元サイクリング,Vol 30,,Vol 5,Vol 4,Ep 377,,Ep 389B (667),,,,,,
G4,1973-05,The Action Planner,スケジュールどけい,Vol 13,Vol 3-4,Vol 3,Vol 3,Ep 190,,Ep 53B (105),Ep 495A (874),,,,,
G5,1973-05,Jekyll-Hyde Jellies,ジキルハイド,Vol 32,Vol 1-2,Vol 6,Vol 2,Ep 113,,Ep 122C (228),,,,,,
G6,1973-05,Dealing in Future,してない貯金を使う法,Vol 27,,Vol 4,Vol 1,Ep 332,,Ep 93B (179),,,,,,
YK,1973-06,The Police Car,パトカー,Vol 198,,,Vol 18,,,,,,,,,
KG,1973-06,The Morphing Set,変身セットでヒーローに,Vol 197,,,Vol 18,,,,,,,,,
G1,1973-06,Dreaming with Doraemon,ゆめまくらでドッキリ,Vol 182,,,Vol 6,Ep 453,,,,,,,,
G2,1973-06,The Bring-it-Bag,とりよせバッグ,Vol 46,Vol 1-4,Vol 11,Vol 5,Ep 351,,Ep 721B (1254),,,,,,
G3,1973-06,The Self-Confidence Helmet,自信ヘルメット,Vol 169,,,Vol 4,Ep 407,,Ep 482A (851),,,,,,
G4,1973-06,Penalty Box,ばっ金箱,Vol 29,,Vol 5,Vol 3,Ep 56,,Ep 902B (1502),,,,,,
G5,1973-06,The Underground Apartment,アパートの木,Vol 43,Vol 1-3,Vol 10,Vol 2,Ep 52,Ep 1026,Ep 292B (475),Ep 595A (1056),,,,,
G6,1973-06,Polarity Patches,N・Sワッペン,Vol 6,Vol 2-2,Vol 2,Vol 1,Ep 4,,Ep 31A (60),,,,,,
